category_id,search_lat,search_lng,hour,day_of_week,actual_demand,predicted_demand,prediction_error
4,14.64112,121.0661,18,5,3,1.541433982683983,1.458566017316017
2,14.6431,121.0647,18,4,1,1.67298088023088,-0.6729808802308801
1,14.6389,121.06385,17,1,1,1.0925,-0.09250000000000003
5,14.64205,121.06725,11,4,1,1.2145833333333333,-0.21458333333333335
3,14.64205,121.06725,10,0,1,1.0,0.0
3,14.6389,121.06385,10,4,1,1.01,-0.010000000000000009
1,14.64205,121.06725,21,1,1,1.235,-0.2350000000000001
2,14.64067907,121.0656502,17,0,2,1.2988333333333333,0.7011666666666667
2,14.64112,121.0661,15,5,1,1.1975,-0.1975
3,14.64067907,121.0656502,9,5,1,1.09,-0.09000000000000008
2,14.64067907,121.0656502,18,3,1,1.4861859668109672,-0.48618596681096715
1,14.64067907,121.0656502,8,2,1,1.005,-0.004999999999999893
2,14.6431,121.0647,20,5,2,2.3010892857142857,-0.3010892857142857
4,14.64112,121.0661,13,0,1,1.1175,-0.11749999999999994
4,14.6431,121.0647,21,5,1,1.0602941176470588,-0.06029411764705883
2,14.63985,121.0649,10,5,1,1.0983333333333334,-0.09833333333333338
4,14.6431,121.0647,20,2,2,1.0330043796782926,0.9669956203217074
2,14.6389,121.06385,7,3,1,1.015,-0.014999999999999902
2,14.6431,121.0647,19,5,2,2.176394841269841,-0.17639484126984106
1,14.63985,121.0649,20,6,2,2.43,-0.43000000000000016
3,14.64112,121.0661,19,3,1,1.4069336080586081,-0.4069336080586081
1,14.64112,121.0661,10,2,1,1.005,-0.004999999999999893
2,14.64112,121.0661,12,6,1,1.5622857142857143,-0.5622857142857143
3,14.63985,121.0649,13,6,2,1.0970833333333332,0.9029166666666668
1,14.6431,121.0647,9,5,1,1.21,-0.20999999999999996
2,14.64112,121.0661,11,0,1,1.07,-0.07000000000000006
1,14.64112,121.0661,11,4,2,1.6183570155334857,0.38164298446651435
2,14.64112,121.0661,16,6,1,1.5650277777777777,-0.5650277777777777
1,14.6431,121.0647,22,5,1,1.9275,-0.9275
4,14.64205,121.06725,18,5,1,2.271047619047619,-1.2710476190476192
1,14.64112,121.0661,10,4,1,1.095,-0.09499999999999997
1,14.64205,121.06725,16,3,1,1.6350000000000002,-0.6350000000000002
3,14.64067907,121.0656502,15,2,1,1.1545625000000002,-0.15456250000000016
3,14.64112,121.0661,13,3,1,1.0153006993006992,-0.015300699300699216
1,14.64205,121.06725,18,5,2,1.745,0.2549999999999999
6,14.63985,121.0649,18,5,1,1.209076923076923,-0.20907692307692294
3,14.64067907,121.0656502,16,2,1,1.107719696969697,-0.10771969696969697
2,14.6431,121.0647,18,5,2,1.9497936507936509,0.05020634920634914
5,14.64205,121.06725,20,5,2,1.44625,0.55375
5,14.64112,121.0661,15,6,1,1.03,-0.030000000000000027
3,14.64205,121.06725,18,5,2,1.451873376623377,0.5481266233766231
5,14.6389,121.06385,13,6,1,1.5558333333333334,-0.5558333333333334
5,14.64112,121.0661,18,4,1,1.6442499999999998,-0.6442499999999998
3,14.64205,121.06725,17,2,1,1.685625,-0.6856249999999999
3,14.64205,121.06725,18,4,2,1.962409090909091,0.03759090909090901
1,14.64205,121.06725,16,1,1,1.3383928571428572,-0.33839285714285716
2,14.6431,121.0647,9,4,1,1.0,0.0
3,14.63985,121.0649,19,6,1,1.5712499999999998,-0.5712499999999998
1,14.63985,121.0649,21,4,2,1.2441666666666666,0.7558333333333334
3,14.64112,121.0661,13,5,4,1.1138636363636365,2.8861363636363633
1,14.64205,121.06725,13,1,1,1.6664880952380952,-0.6664880952380952
2,14.63985,121.0649,12,6,1,1.5989107142857142,-0.5989107142857142
3,14.64067907,121.0656502,21,4,2,1.645985294117647,0.35401470588235306
2,14.63985,121.0649,7,6,1,1.015,-0.014999999999999902
3,14.6431,121.0647,11,4,1,1.069375,-0.06937499999999996
1,14.6389,121.06385,20,6,2,2.515,-0.5150000000000001
1,14.6389,121.06385,18,5,1,2.09,-1.0899999999999999
4,14.64112,121.0661,13,5,1,1.1804999999999999,-0.18049999999999988
1,14.64112,121.0661,9,5,2,1.43,0.5700000000000001
1,14.63985,121.0649,12,1,1,1.6271785714285714,-0.6271785714285714
4,14.64112,121.0661,11,0,1,1.06,-0.06000000000000005
2,14.6389,121.06385,16,1,1,1.2611309523809524,-0.2611309523809524
5,14.6431,121.0647,19,1,1,1.2065416666666666,-0.20654166666666662
3,14.63985,121.0649,11,1,1,1.4396666666666667,-0.43966666666666665
3,14.6431,121.0647,20,5,2,2.2118630952380953,-0.21186309523809532
5,14.64112,121.0661,18,5,1,2.0731006493506494,-1.0731006493506494
1,14.6389,121.06385,8,6,1,1.28,-0.28
6,14.64205,121.06725,19,2,1,1.127,-0.127
3,14.63985,121.0649,12,6,2,1.2814682539682538,0.7185317460317462
6,14.6431,121.0647,22,0,1,1.035,-0.03499999999999992
3,14.64205,121.06725,19,0,2,1.255,0.7450000000000001
4,14.6431,121.0647,11,4,1,1.1133333333333333,-0.11333333333333329
4,14.63985,121.0649,19,6,1,1.025,-0.02499999999999991
4,14.64067907,121.0656502,21,2,1,1.1380478896103894,-0.13804788961038938
3,14.6431,121.0647,15,5,1,1.546485745614035,-0.5464857456140351
1,14.63985,121.0649,13,6,1,1.2145833333333333,-0.21458333333333335
5,14.6389,121.06385,20,4,1,1.055,-0.05499999999999994
3,14.63985,121.0649,18,6,1,1.4443939393939393,-0.44439393939393934
1,14.63985,121.0649,17,2,1,1.4186904761904762,-0.41869047619047617
5,14.64112,121.0661,11,0,1,1.055,-0.05499999999999994
4,14.63985,121.0649,20,1,1,1.0839024517149518,-0.08390245171495181
4,14.63985,121.0649,21,3,2,1.2753733766233766,0.7246266233766234
1,14.64067907,121.0656502,13,5,1,1.0593740031897927,-0.05937400318979269
1,14.64112,121.0661,18,6,1,1.62625,-0.62625
3,14.6389,121.06385,14,3,2,1.217,0.7829999999999999
5,14.64067907,121.0656502,15,1,1,1.12,-0.1200000000000001
3,14.64205,121.06725,11,2,1,1.2657720588235295,-0.2657720588235295
2,14.6431,121.0647,21,5,1,1.644047619047619,-0.644047619047619
6,14.6389,121.06385,17,0,1,1.45,-0.44999999999999996
3,14.6389,121.06385,11,0,1,1.1,-0.10000000000000009
2,14.6389,121.06385,20,2,1,1.2446293290043289,-0.24462932900432888
4,14.64112,121.0661,20,5,1,1.338584160937102,-0.3385841609371021
4,14.6431,121.0647,18,5,2,1.475,0.5249999999999999
2,14.64067907,121.0656502,13,3,1,1.0376845376845376,-0.03768453768453761
2,14.64067907,121.0656502,18,2,1,1.7086276193613146,-0.7086276193613146
3,14.6389,121.06385,14,5,1,1.1175,-0.11749999999999994
1,14.63985,121.0649,17,5,2,2.14625,-0.1462500000000002
6,14.63985,121.0649,21,2,1,1.0825,-0.08250000000000002
1,14.63985,121.0649,18,3,3,1.7489610389610388,1.2510389610389612
4,14.64067907,121.0656502,16,5,1,1.3983382867132865,-0.3983382867132865
2,14.64112,121.0661,10,3,3,1.0,2.0
1,14.6389,121.06385,12,4,1,1.3043290043290043,-0.30432900432900434
3,14.63985,121.0649,19,0,1,1.196611111111111,-0.19661111111111107
6,14.64067907,121.0656502,8,1,1,1.0,0.0
